time_days,delta_NO₃_alk,delta_NO₃_small_dt,delta_NH₄_alk,delta_NH₄_small_dt,delta_P_alk,delta_P_small_dt,delta_Z_alk,delta_Z_small_dt,delta_DOM_alk,delta_DOM_small_dt,delta_sPOM_alk,delta_sPOM_small_dt,delta_bPOM_alk,delta_bPOM_small_dt,delta_DIC_alk,delta_DIC_small_dt,delta_Alk_alk,delta_Alk_small_dt
55.0,-0.04793053865432739,0.0,3.4371209039818496e-5,0.0,0.05762559175491333,0.0,-0.002123570069670677,0.0,0.12599137425422668,0.0,0.1421307474374771,0.0,0.1424270123243332,0.0,-0.27783203125,0.0,100.12353515625,0.0
56.0,-0.05079805850982666,0.0,3.55047141056275e-5,0.0,0.0607835054397583,0.0,-0.0027871131896972656,0.0,0.1381174623966217,0.0,0.15586082637310028,0.0,0.15625913441181183,0.0,-0.29150390625,0.0,100.136962890625,0.0
57.0,-0.053373754024505615,0.0,3.679627479868941e-5,0.0,0.06402444839477539,0.0,-0.0036738459020853043,0.0,0.1513427048921585,0.0,0.17036929726600647,0.0,0.17090794444084167,0.0,-0.302490234375,0.0,100.151611328125,0.0
58.0,-0.055547893047332764,0.0,3.826614920399152e-5,0.0,0.06740719079971313,0.0,-0.004854166880249977,0.0,0.16570976376533508,0.0,0.18553130328655243,0.0,0.18626311421394348,0.0,-0.3095703125,0.0,100.16796875,0.0
59.0,-0.057210564613342285,0.0,3.9938973714015447e-5,0.0,0.07103019952774048,0.0,-0.00641455315053463,0.0,0.18124787509441376,0.0,0.20117664337158203,0.0,0.20217406749725342,0.0,-0.3125,0.0,100.185791015625,0.0
60.0,-0.058263570070266724,0.0,4.184445606369991e-5,0.0,0.07504236698150635,0.0,-0.008456103503704071,0.0,0.19796991348266602,0.0,0.21708889305591583,0.0,0.2184503674507141,0.0,-0.310546875,0.0,100.205078125,0.0
61.0,-0.058634281158447266,0.0,4.401790465635713e-5,0.0,0.07964903116226196,0.0,-0.01108822226524353,0.0,0.2158697545528412,0.0,0.23300863802433014,0.0,0.23486652970314026,0.0,-0.302734375,0.0,100.225830078125,0.0
62.0,-0.05829036235809326,0.0,4.6500255848513916e-5,0.0,0.08510923385620117,0.0,-0.014414504170417786,0.0,0.2349204421043396,0.0,0.2486419379711151,0.0,0.25117141008377075,0.0,-0.2890625,0.0,100.248046875,0.0
63.0,-0.05725175142288208,0.0,4.933770287607331e-5,0.0,0.09171342849731445,0.0,-0.018507692962884903,0.0,0.2550731599330902,0.0,0.2636740803718567,0.0,0.26710256934165955,0.0,-0.27001953125,0.0,100.271484375,0.0
64.0,-0.05559387803077698,0.0,5.258115925244056e-5,0.0,0.09973812103271484,0.0,-0.023372210562229156,0.0,0.27625736594200134,0.0,0.27778834104537964,0.0,0.28240418434143066,0.0,-0.24609375,0.0,100.296142578125,0.0
65.0,-0.05343998968601227,0.0,5.628663711831905e-5,0.0,0.10937249660491943,0.0,-0.028897501528263092,0.0,0.2983817160129547,0.0,0.290687620639801,0.0,0.29684609174728394,0.0,-0.2177734375,0.0,100.321533203125,0.0
66.0,-0.05094178020954132,0.0,6.051783202565275e-5,0.0,0.12063103914260864,0.0,-0.034813374280929565,0.0,0.3213358521461487,0.0,0.3021164834499359,0.0,0.31024056673049927,0.0,-0.18701171875,0.0,100.34765625,0.0
67.0,-0.04825395345687866,0.0,6.535163629450835e-5,0.0,0.13327950239181519,0.0,-0.040668219327926636,0.0,0.344992995262146,0.0,0.3118797838687897,0.0,0.32245367765426636,0.0,-0.154541015625,0.0,100.37451171875,0.0
68.0,-0.0455106645822525,0.0,7.088552229106426e-5,0.0,0.1468113660812378,0.0,-0.04585437476634979,0.0,0.369212806224823,0.0,0.31985560059547424,0.0,0.3334091603755951,0.0,-0.121826171875,0.0,100.40087890625,0.0
69.0,-0.042810916900634766,0.0,7.724258830421604e-5,0.0,0.16050559282302856,0.0,-0.04969508945941925,0.0,0.393844872713089,0.0,0.3260006904602051,0.0,0.3430849015712738,0.0,-0.08935546875,0.0,100.427490234375,0.0
70.0,-0.04021548479795456,0.0,8.456796786049381e-5,0.0,0.17356407642364502,0.0,-0.05157913267612457,0.0,0.41873282194137573,0.0,0.33034780621528625,0.0,0.35150352120399475,0.0,-0.0576171875,0.0,100.4541015625,0.0
71.0,-0.03775295987725258,0.0,9.301161844632588e-5,0.0,0.1852836012840271,0.0,-0.05109868943691254,0.0,0.4437185227870941,0.0,0.3329959511756897,0.0,0.358720064163208,0.0,-0.027099609375,0.0,100.47998046875,0.0
72.0,-0.0354301892220974,0.0,0.00010269800259266049,0.0,0.19519591331481934,0.0,-0.04813554883003235,0.0,0.4686465561389923,0.0,0.3340953588485718,0.0,0.3648093342781067,0.0,0.002197265625,0.0,100.505615234375,0.0
